origin,destination,amount,type,src_country,dst_country
C1073,M4670,711615.8547713435,PAYMENT,IN,JP
C1554,M6516,55986.61476326382,CREDIT,BR,IN
C4644,M6919,342770.96474624187,DEBIT,IN,US
C7998,M7188,682164.5824401594,CASH_OUT,BR,ZA
C7068,M6193,516676.2542005269,PAYMENT,GR,GR
C1901,M6434,558856.9954003935,DEBIT,IN,IN
C6115,M1564,919012.3107123529,TRANSFER,IN,BR
C2966,M6707,949763.1529002477,TRANSFER,AU,US
C6789,M8893,381489.54619130923,PAYMENT,JP,JP
C1967,M3005,294873.9213311623,TRANSFER,US,US
C8228,M7124,295360.8133551508,CREDIT,IN,US
C8130,M1431,816281.9138238428,PAYMENT,ZA,AU
C3130,M8275,389220.55870940804,CASH_OUT,GR,GR
C2511,M4749,900419.9793146359,DEBIT,BR,BR
C4114,M8238,432110.1635101697,DEBIT,ZA,FR
C8481,M5956,25743.367205306695,CREDIT,GB,GR
C8744,M2303,999597.4730478383,TRANSFER,US,FR
C8189,M5623,107922.71407176624,CREDIT,JP,JP
C7714,M3301,963812.8662382177,PAYMENT,GB,JP
C4748,M2872,377855.25191504153,CREDIT,GB,JP
C2381,M4473,859271.9483516259,PAYMENT,ZA,AU
C5657,M3664,203349.00428751574,TRANSFER,US,AU
C5103,M4369,476103.052233582,DEBIT,GB,GB
C3232,M1579,406972.77266185323,TRANSFER,FR,IN
C2293,M7151,521625.69346554443,DEBIT,BR,ZA
C1946,M5036,858688.3878974577,CREDIT,GB,IN
C7030,M4148,638324.748403758,CREDIT,JP,US
C5575,M4839,242128.14673373787,CASH_OUT,JP,ZA
C1081,M1650,538238.091992331,CREDIT,FR,FR
C7613,M8277,29988.683821108116,PAYMENT,GR,GB
C7431,M4556,310089.49379571556,CREDIT,GB,IN
C6441,M3589,604324.2198408195,PAYMENT,AU,FR
C1983,M3013,760618.5889888095,PAYMENT,AU,FR
C5472,M7622,788840.8343598656,PAYMENT,AU,FR
C7420,M7857,34188.086759506514,DEBIT,US,IN
C4563,M8479,686862.6689324828,DEBIT,GB,JP
C3570,M1439,217738.83194872076,CASH_OUT,GB,BR
C8234,M2400,94078.44595123941,CASH_OUT,GB,JP
C1731,M5692,804409.4097389226,TRANSFER,IN,US
C1588,M2380,621884.8363627751,TRANSFER,IN,GB
C4916,M7544,795452.9299988664,CASH_OUT,GB,ZA
C4049,M6393,366177.8729492058,TRANSFER,IN,US
C5669,M8314,320254.07812520163,TRANSFER,US,AU
C2008,M6363,350204.1842326305,CREDIT,IN,US
C7907,M6308,704321.7524206572,TRANSFER,US,JP
C8986,M1991,634301.0011896514,DEBIT,US,IN
C1352,M7444,371207.97686371417,DEBIT,BR,BR
C1858,M2649,531915.5752292062,CASH_OUT,US,AU
C3981,M7166,314299.9142094567,TRANSFER,IN,US
C6224,M8011,633259.5424365497,DEBIT,US,JP
C2262,M2824,937542.7801056353,DEBIT,GB,ZA
C6746,M5630,195443.38233808675,CASH_OUT,BR,AU
C1580,M6656,49626.60603087977,TRANSFER,GB,IN
C4800,M2013,737954.8446735033,CASH_OUT,BR,FR
C8553,M4785,361534.33612978575,CASH_OUT,GR,FR
C1864,M3965,257119.71979045696,TRANSFER,ZA,GR
C4021,M4267,751260.3269060137,PAYMENT,JP,AU
C3292,M2394,358708.77569681976,CASH_OUT,FR,JP
C4640,M5614,710529.264625782,PAYMENT,ZA,US
C6275,M2961,949059.3094199989,CREDIT,GB,AU
C6740,M3198,892938.4271625549,PAYMENT,ZA,FR
C1472,M7666,335798.5885082257,DEBIT,US,GB
C6967,M8806,262007.82336681968,CASH_OUT,GB,GR
C8258,M3135,153116.9002837913,CREDIT,FR,FR
C8055,M2055,610579.2078646147,PAYMENT,BR,IN
C3010,M2807,246309.9704105171,PAYMENT,IN,ZA
C2839,M8734,212825.1993350645,DEBIT,IN,FR
C3218,M5101,810658.3949619883,PAYMENT,BR,GR
C7322,M1598,147993.06795536788,CREDIT,BR,GB
C4162,M5646,158577.86599474802,CREDIT,BR,IN
C4406,M1225,677404.9334702088,DEBIT,IN,BR
C2431,M7195,76505.67383545598,CASH_OUT,AU,US
C7172,M7103,581778.041031791,CREDIT,GR,JP
C2311,M7914,65777.83601288222,TRANSFER,ZA,GB
C5032,M5430,108096.55933636348,CREDIT,US,ZA
C3711,M8284,614411.973865666,TRANSFER,AU,IN
C3911,M6067,658446.8295422355,CASH_OUT,ZA,GR
C6758,M3779,904216.6958937726,TRANSFER,GR,JP
C2840,M7558,263176.41988177237,TRANSFER,FR,AU
C5677,M1133,525476.9145110075,CASH_OUT,BR,ZA
C7231,M5018,477484.14889912686,CREDIT,JP,ZA
C8396,M8956,695593.2444412905,TRANSFER,IN,IN
C3977,M2723,5998.322726282527,PAYMENT,AU,AU
C6946,M7395,270339.3015731657,CASH_OUT,IN,GB
C4044,M1149,989996.0855728894,TRANSFER,ZA,AU
C5459,M1886,230708.6566861211,DEBIT,FR,US
C2122,M6727,275873.58733681275,PAYMENT,ZA,GB
C1535,M6658,945517.2072508198,TRANSFER,BR,US
C4114,M2001,283739.8767584309,PAYMENT,JP,IN
C1592,M6177,910492.2301065483,DEBIT,BR,AU
C3261,M7801,226839.8490444466,PAYMENT,GB,IN
C1344,M5219,444860.4281066352,CASH_OUT,GR,JP
C2389,M3888,885188.3378686275,TRANSFER,JP,FR
C7247,M1749,807396.10786504,CREDIT,ZA,JP
C1939,M4754,538072.5668527656,TRANSFER,GB,AU
C6964,M8510,455840.58591917093,CREDIT,ZA,GR
C6756,M2914,813178.2418974029,TRANSFER,GR,GB
C7903,M4988,913091.7087855076,DEBIT,ZA,AU
C1000,M3998,304842.66126862646,TRANSFER,BR,AU
C5875,M3359,195295.1068691956,CASH_OUT,IN,ZA
C4251,M6002,290626.1442181816,TRANSFER,FR,JP
C8407,M7064,69858.65802871119,TRANSFER,US,US
C5585,M3222,104927.77028775119,CREDIT,GB,GB
C5306,M7415,176323.28045558947,TRANSFER,BR,US
C6520,M7226,588251.2228249663,CREDIT,GR,ZA
C1905,M4896,797261.2283346634,DEBIT,ZA,ZA
C8014,M8029,84159.55266322516,DEBIT,AU,GB
C3331,M7003,109053.36360320853,PAYMENT,GB,BR
C8374,M6234,999367.0193029356,PAYMENT,ZA,GB
C1614,M7555,697649.295957447,PAYMENT,ZA,GR
C7178,M2835,918508.8779476763,CASH_OUT,GB,AU
C6562,M7270,137518.8274804976,DEBIT,FR,FR
C8369,M1213,626013.4884576133,CREDIT,GB,ZA
C1016,M8782,600716.0004996947,TRANSFER,JP,US
C1927,M1949,35760.87918374832,CASH_OUT,GR,JP
C7623,M2876,59959.33945423418,CASH_OUT,ZA,BR
C5275,M6969,141083.46062989027,PAYMENT,FR,ZA
C3871,M4620,247186.65539266285,PAYMENT,BR,AU
C4924,M7915,619188.9786159162,CREDIT,GR,BR
C5868,M7175,232140.14099292314,TRANSFER,ZA,US
C2980,M6781,464295.43762012594,CREDIT,GR,US
C8963,M7115,636919.2609851978,PAYMENT,US,FR
C2489,M7140,129583.06674816528,CREDIT,US,FR
C3551,M4637,68720.26316860956,CASH_OUT,BR,FR
C7164,M7359,116440.45622280736,TRANSFER,GR,ZA
C4641,M4542,336314.2124128034,CREDIT,JP,AU
C6239,M8648,580329.9569759218,CREDIT,BR,GB
C3518,M1961,880089.8451369408,TRANSFER,FR,ZA
C2092,M6887,861956.2915472051,DEBIT,AU,JP
C4471,M4651,927373.527150899,TRANSFER,GR,IN
C3487,M1665,972918.8608653157,CREDIT,US,US
C6764,M7591,839247.0494647395,DEBIT,JP,JP
C2219,M6281,46229.40892904502,CREDIT,IN,JP
C3456,M6943,346439.25579003734,CREDIT,GB,JP
C3862,M6553,98684.76977620991,CASH_OUT,ZA,BR
C1103,M8821,517289.6278856015,TRANSFER,GR,FR
C2288,M3843,749915.6437403102,TRANSFER,ZA,BR
C2622,M1690,945639.2627693175,DEBIT,IN,BR
C4073,M5552,271342.6605958303,CASH_OUT,ZA,JP
C1740,M2698,422064.1341467563,PAYMENT,AU,GB
C4801,M5248,208124.6520399202,CREDIT,JP,JP
C8645,M5845,536215.3892802509,PAYMENT,AU,BR
C6857,M2327,100898.5594790162,PAYMENT,GR,ZA
C7925,M5511,703494.9304565781,DEBIT,ZA,BR
C4234,M1642,311472.9883006169,TRANSFER,ZA,IN
C2550,M4794,73098.04951558012,DEBIT,AU,GR
C7936,M5509,542164.716952839,CASH_OUT,JP,JP
C6008,M7839,34091.6720608376,TRANSFER,ZA,JP
C3304,M1034,644825.3590996717,DEBIT,IN,FR
C3823,M1733,151730.54459401936,TRANSFER,ZA,JP
C1770,M6799,614654.9188888954,TRANSFER,ZA,FR
C4946,M5139,78614.20359367975,CASH_OUT,FR,GR
C2264,M1053,148580.14015452025,DEBIT,FR,AU
C5303,M4224,538416.2895951519,DEBIT,GR,ZA
C5223,M8834,808845.5298202072,CASH_OUT,JP,GR
C1175,M7630,175012.34238134962,PAYMENT,GB,JP
C7683,M6665,605509.264940491,TRANSFER,FR,AU
C3590,M2814,225114.45547335237,CASH_OUT,US,JP
C8888,M4111,487612.8554545958,CREDIT,JP,US
C8657,M4293,753052.2431870416,TRANSFER,US,US
C6297,M4052,311914.2834948108,DEBIT,GB,IN
C4178,M6178,823033.8338783388,CASH_OUT,BR,FR
C5738,M3258,575865.63839853,DEBIT,US,IN
C3310,M7610,826925.9989176402,TRANSFER,GB,BR
C2089,M6789,263468.063064414,DEBIT,BR,US
C6985,M6449,733174.3844999553,DEBIT,GR,AU
C8466,M1887,560690.747363156,DEBIT,GB,BR
C5130,M8610,644046.485117836,PAYMENT,US,GB
C6625,M6983,991582.7766010094,PAYMENT,GB,US
C3761,M2092,893641.615528653,TRANSFER,GB,ZA
C4096,M4718,19886.809355753423,CREDIT,US,US
C2768,M6402,176687.11648805474,DEBIT,JP,FR
C1818,M6354,314104.17886171635,TRANSFER,AU,JP
C5796,M8871,880981.9231144078,PAYMENT,ZA,IN
C5643,M7983,928836.4301387973,CREDIT,GB,JP
C1815,M1885,419751.0077226643,TRANSFER,JP,BR
C2446,M7657,186345.33959813832,DEBIT,US,FR
C4253,M7752,444124.5931148467,CASH_OUT,JP,GR
C3941,M6159,303684.7281276429,PAYMENT,ZA,IN
C5746,M4632,820389.7843338569,TRANSFER,IN,US
C2765,M3676,349021.75047624856,DEBIT,FR,IN
C2402,M6187,629996.8001806545,CASH_OUT,ZA,FR
C8150,M7437,112320.67487723009,PAYMENT,US,GB
C1241,M3626,510198.68429392396,PAYMENT,US,AU
C1248,M7819,909948.4577539876,DEBIT,IN,AU
C8680,M5785,359301.6385137019,CREDIT,GR,BR
C2548,M6543,144252.94605712817,TRANSFER,ZA,BR
C1053,M7650,662629.5123606607,CREDIT,FR,FR
C7067,M8035,286839.2652461669,PAYMENT,GR,ZA
C7453,M3853,740841.7712426432,DEBIT,AU,US
C8248,M2468,286790.02352021664,CREDIT,FR,US
C3670,M3652,840642.8801561714,TRANSFER,JP,BR
C4613,M4234,436581.64767737384,DEBIT,ZA,BR
C1312,M6435,26436.04471106904,CASH_OUT,GR,US
C4361,M8285,297335.1770807884,TRANSFER,GB,GR
C2201,M8292,174212.16759218846,TRANSFER,FR,US
C7350,M4920,654311.537605951,PAYMENT,US,GR
C7150,M8810,516874.55899133114,CASH_OUT,US,US
C8208,M4422,917086.7485461906,CREDIT,BR,US
C4245,M1221,497339.8398572299,DEBIT,JP,BR
C7930,M6182,896716.5336526853,CASH_OUT,US,JP
C8727,M3642,587883.9887427157,DEBIT,GB,AU
C1533,M7231,288527.057501159,TRANSFER,GR,ZA
C5965,M5389,800667.5990783601,CREDIT,GB,BR
C2930,M8382,481938.39535701636,TRANSFER,JP,GB
C3337,M3559,13937.90994810632,TRANSFER,BR,GB
C5936,M3453,435457.1680436188,CREDIT,US,AU
C3706,M3556,682682.116609781,PAYMENT,JP,FR
C8216,M3458,438203.11519579095,DEBIT,IN,GB
C6361,M4690,238107.4468664192,PAYMENT,AU,GR
C5372,M5792,775499.8423985265,PAYMENT,IN,US
C5336,M8312,38317.093777091504,PAYMENT,GB,FR
C6012,M3779,722348.7470863754,PAYMENT,BR,ZA
C2435,M2196,948880.9592240027,CREDIT,GR,BR
C8581,M2816,35173.57160535797,DEBIT,ZA,BR
C1288,M6995,844944.3383526553,PAYMENT,IN,JP
C3636,M4186,13.09219244126029,TRANSFER,US,AU
C4636,M8288,519618.4460967295,CASH_OUT,AU,IN
C8859,M3687,760840.6507044205,CASH_OUT,AU,JP
C3250,M8784,144750.39290498538,PAYMENT,FR,US
C7266,M4652,326116.18221649464,TRANSFER,GR,IN
C6879,M8497,500120.01448074845,CREDIT,GR,JP
C5051,M2902,848497.568071521,CREDIT,ZA,ZA
C8837,M3664,598694.5619061913,CREDIT,US,AU
C6932,M6614,696406.8688245615,PAYMENT,ZA,BR
C4974,M6486,7237.437807212458,DEBIT,ZA,GB
C5770,M2823,316261.1313015682,CREDIT,BR,IN
C3803,M1488,198042.87680327523,PAYMENT,AU,GB
C7605,M8822,293061.54793372244,TRANSFER,GR,ZA
C2495,M2848,490940.9324931495,PAYMENT,GB,GR
C6780,M3639,438100.7107605021,CASH_OUT,AU,GB
C6642,M8454,694720.981893406,DEBIT,AU,US
C6241,M3871,905987.5061063522,PAYMENT,AU,FR
C3969,M8967,808739.4025730531,PAYMENT,GB,FR
C3458,M3449,79329.39793974608,TRANSFER,IN,GB
C5091,M3646,808569.1771536134,PAYMENT,GB,JP
C3770,M1756,980747.0567504609,CREDIT,ZA,US
C3473,M4992,475439.5809984329,CASH_OUT,AU,ZA
C8681,M7690,547242.7330345867,DEBIT,GR,GB
C7488,M7960,769709.9064005718,CREDIT,US,AU
C6114,M5540,656048.0305213863,DEBIT,ZA,GR
C2076,M5192,493846.3990662635,PAYMENT,ZA,US
C5978,M1323,62251.04903813169,DEBIT,IN,IN
C6545,M6150,137814.2667182595,DEBIT,BR,GR
C4615,M1910,872243.1004873508,TRANSFER,FR,ZA
C1436,M6102,385505.038241625,DEBIT,JP,IN
C5876,M4656,857578.696611558,TRANSFER,FR,ZA
C8161,M8684,809185.978298681,PAYMENT,GB,AU
C1935,M2846,11587.020924284025,TRANSFER,US,JP
C1677,M6524,555427.6580570128,PAYMENT,AU,AU
C6009,M8088,298616.31144218595,CREDIT,FR,GR
C5741,M7952,486564.13819327473,CASH_OUT,JP,ZA
C5564,M4376,782923.0201425516,PAYMENT,GB,GR
C1378,M5656,1539.2232331533337,TRANSFER,GR,AU
C8010,M6857,742586.181431414,CREDIT,ZA,ZA
C8654,M6068,30600.40727821397,CASH_OUT,BR,BR
C7028,M8882,526991.1283526858,TRANSFER,AU,JP
C8422,M3654,298060.15236601414,PAYMENT,BR,JP
C7472,M4660,775308.1441562163,CREDIT,IN,US
C7089,M2661,593854.3107694541,CASH_OUT,GR,IN
C6358,M6551,359427.8960945224,CASH_OUT,US,BR
C2191,M1258,120642.20542219367,CASH_OUT,AU,JP
C6004,M4414,446590.175336804,TRANSFER,BR,AU
C6551,M2435,689482.3705996546,TRANSFER,BR,AU
C2580,M3316,615776.4784455947,CASH_OUT,JP,FR
C1714,M6709,51213.109358582275,CASH_OUT,JP,US
C3524,M3296,283237.6775664747,DEBIT,FR,GR
C7251,M7279,281578.1987922605,CREDIT,GB,FR
C4191,M5346,955161.5075600019,DEBIT,GB,JP
C8077,M1226,728923.3691572741,PAYMENT,AU,US
C3092,M5445,596937.2374750292,PAYMENT,JP,AU
C7085,M6063,68817.27085860037,CREDIT,GB,GR
C1615,M1110,190574.2338225161,TRANSFER,JP,JP
C3078,M6868,407448.0159825882,TRANSFER,GB,JP
C4590,M4264,495138.37046779215,CASH_OUT,ZA,JP
C8004,M6658,70635.18417520526,CASH_OUT,AU,US
C8541,M4355,926450.063250247,PAYMENT,AU,AU
C2459,M3077,100211.73245604814,DEBIT,AU,GB
C5963,M2250,880669.6885342347,CREDIT,GR,IN
C8240,M3510,90242.41459234069,DEBIT,BR,AU
C6608,M1787,509262.6315531718,PAYMENT,AU,GR
C3636,M5578,721428.0078380123,TRANSFER,GR,GB
C1429,M3077,886768.8311921817,CREDIT,IN,IN
C7377,M1368,519293.5952317139,DEBIT,FR,IN
C3782,M7391,739403.7035172634,CASH_OUT,GR,GR
C2102,M6405,909766.9593603432,DEBIT,GR,JP
C6492,M5067,387239.4056739715,TRANSFER,ZA,US
C3372,M3301,684040.1473946754,DEBIT,AU,AU
C1402,M5786,792395.7642482979,TRANSFER,US,GB
C8573,M2667,369350.14541012386,PAYMENT,JP,AU
C8199,M5493,476157.6675811701,CASH_OUT,US,US
C1684,M3149,538389.357564155,DEBIT,ZA,IN
C4324,M4268,656262.6657772253,CREDIT,IN,IN
C8857,M1096,380989.49800644687,CASH_OUT,FR,BR
C7329,M8234,159139.27426171303,DEBIT,GB,IN
C6606,M7489,20732.184181540357,DEBIT,JP,GB
C8140,M3115,357877.7996592184,TRANSFER,US,GB
C1579,M1210,28064.572068989994,TRANSFER,IN,BR
C7176,M5584,538651.9714205372,CREDIT,ZA,US
C7761,M2955,56086.64734732922,PAYMENT,BR,GR
C7792,M1175,926486.7882929865,CREDIT,JP,ZA
C8857,M6495,687099.413693407,DEBIT,GR,ZA
C2187,M3579,804063.7838714088,CASH_OUT,AU,US
C8848,M4480,105982.98580175698,TRANSFER,AU,ZA
C7410,M6751,9279.97067167346,CASH_OUT,US,BR
C8779,M4992,3940.176491941971,TRANSFER,GR,GR
C5420,M1661,779452.8717764416,TRANSFER,FR,ZA
C6204,M4406,731242.6211518731,DEBIT,JP,ZA
C1017,M4278,751579.3738680736,PAYMENT,AU,IN
C5463,M1500,833150.8896690279,CASH_OUT,US,US
C6557,M4842,45306.791328210005,DEBIT,JP,GB
C2254,M5213,370612.5422384904,DEBIT,BR,IN
C1472,M7085,15631.414291398249,CASH_OUT,GB,JP
C4162,M3930,151892.98126392817,CREDIT,BR,US
C2516,M2074,63914.978498320794,CASH_OUT,AU,IN
C1237,M1257,17572.20477258225,CASH_OUT,GR,AU
C2874,M3165,273112.60307091736,CASH_OUT,JP,IN
C8745,M5133,303192.8692809604,TRANSFER,GR,ZA
C1364,M8857,519083.8134988627,DEBIT,US,GB
C4572,M5784,204530.5918335776,CREDIT,JP,JP
C8699,M1704,442129.42754671286,CREDIT,IN,US
C1593,M3056,665845.6090719734,CASH_OUT,GB,IN
C2437,M4880,57937.63818547777,DEBIT,GB,GR
C8016,M7949,398586.9460326989,TRANSFER,GB,ZA
C6540,M1687,240142.56557980287,TRANSFER,ZA,JP
C1995,M1515,921454.2706776257,CREDIT,FR,FR
C2701,M3733,929862.6986564577,CASH_OUT,ZA,AU
C4917,M2207,71573.25650859976,DEBIT,GB,JP
C6680,M7829,780684.6050024282,PAYMENT,IN,AU
C5087,M8492,127861.16926166977,DEBIT,IN,BR
C6760,M3415,265612.6549773799,CREDIT,US,GR
C4233,M7542,168525.95383843273,DEBIT,GR,GR
C7733,M8487,43555.286744267156,PAYMENT,BR,BR
C5355,M5384,36949.66932611988,PAYMENT,BR,GR
C6927,M4622,454113.1448531044,PAYMENT,GR,GB
C6407,M2828,712633.5482123753,CREDIT,US,GB
C1779,M3715,548480.0605821548,TRANSFER,JP,JP
C6785,M7398,84184.515882189,DEBIT,GR,ZA
C3463,M6098,749941.8705765835,CREDIT,AU,JP
C7306,M3433,249082.79692061793,PAYMENT,GR,GB
C5570,M5603,83022.24087945974,CREDIT,ZA,BR
C3259,M5339,67538.10552596494,CASH_OUT,GR,BR
C8035,M3195,355156.28693113953,CREDIT,AU,GB
C7088,M4477,196433.487041847,TRANSFER,BR,ZA
C7929,M2421,149752.19769885356,CASH_OUT,GR,US
C7841,M4102,607267.0151146787,CASH_OUT,BR,JP
C5887,M7479,202518.2156403018,CASH_OUT,FR,FR
C6775,M4474,92739.28748642652,TRANSFER,BR,ZA
C5764,M7870,198173.7005506381,CREDIT,BR,US
C4830,M5603,135967.98398168944,DEBIT,BR,GR
C2561,M6803,683682.8010428111,DEBIT,ZA,GR
C1621,M3608,545248.9696850829,CREDIT,IN,BR
C5995,M7169,69939.54972811986,CASH_OUT,BR,FR
C1462,M1488,388142.8833774706,CASH_OUT,US,GB
C1938,M7707,91765.54766243504,CREDIT,ZA,GB
C1615,M3924,719508.6422987245,CASH_OUT,AU,US
C5227,M6131,360258.48025383503,TRANSFER,BR,GB
C8454,M1194,174266.14863897618,DEBIT,AU,FR
C6018,M6688,738142.7792087441,CASH_OUT,JP,JP
C8978,M4537,225438.86440310357,TRANSFER,IN,BR
C7457,M1312,924445.9340892634,TRANSFER,FR,GB
C7459,M6598,387508.2706409776,DEBIT,IN,BR
C3923,M7117,623568.5562182654,TRANSFER,FR,IN
C1293,M7019,995295.2917366513,DEBIT,BR,ZA
C4221,M2278,398106.16347520537,CREDIT,JP,GB
C5779,M4087,551298.8537898886,TRANSFER,ZA,BR
C5572,M7009,498361.0892292349,TRANSFER,GB,US
C4303,M3066,965725.3088738193,PAYMENT,BR,ZA
C2868,M4697,468998.3902769638,PAYMENT,IN,GB
C4037,M3507,947543.7638343681,CASH_OUT,JP,GB
C4515,M5856,126627.31657033732,TRANSFER,BR,US
C8545,M4883,367996.0218390866,DEBIT,JP,IN
C6107,M5325,953641.4392794367,DEBIT,GR,ZA
C8580,M7656,497320.63055064366,TRANSFER,GB,JP
C5953,M7975,202061.6933185299,PAYMENT,US,GR
C6059,M8766,98167.14514870007,DEBIT,GR,ZA
C2259,M2095,419587.7119784135,CREDIT,JP,IN
C5319,M5349,599697.7168191185,DEBIT,US,FR
C5157,M5055,328007.2304725391,PAYMENT,BR,BR
C3095,M3119,565911.6450247813,CREDIT,GR,IN
C7138,M1789,631651.7502160915,PAYMENT,FR,AU
C4039,M6085,902907.0736690059,CASH_OUT,FR,ZA
C7479,M4839,463283.0066756246,CASH_OUT,GR,BR
C6769,M2974,458546.4844339503,DEBIT,US,GB
C1118,M1668,633192.2005728807,CREDIT,ZA,US
C2653,M5449,23449.19239911119,PAYMENT,ZA,FR
C8449,M3881,122177.87578977087,TRANSFER,ZA,AU
C6683,M6481,192047.72455814006,PAYMENT,GR,FR
C4097,M4678,687099.9816070055,CASH_OUT,JP,GR
C4717,M1837,63918.75041299923,PAYMENT,BR,US
C7437,M8951,316163.935702023,DEBIT,GB,ZA
C6569,M4357,640320.6622718924,TRANSFER,AU,FR
C5686,M8966,288049.5337460429,CASH_OUT,FR,BR
C4634,M1209,87133.90230564047,PAYMENT,JP,FR
C6207,M2497,699722.3374263624,CASH_OUT,US,US
C1417,M5333,426408.61230812146,CREDIT,JP,IN
C6878,M2987,876652.4350637103,DEBIT,GB,IN
C5457,M5653,228094.17576066454,CREDIT,AU,US
C8250,M5318,992170.2778445508,TRANSFER,IN,IN
C6178,M7522,595604.9628062297,CREDIT,AU,AU
C2705,M8354,486372.4021667129,DEBIT,GB,IN
C1736,M5393,102059.77138749832,DEBIT,GB,AU
C4814,M4361,463812.4325432072,CREDIT,US,IN
C5758,M5941,160544.43464228805,CASH_OUT,AU,AU
C7855,M1567,654564.1318437945,TRANSFER,BR,GB
C2415,M6789,540800.1606270995,TRANSFER,US,FR
C3592,M1466,594215.1108988106,TRANSFER,US,JP
C2655,M5301,255819.48435759958,TRANSFER,FR,US
C3113,M3077,413372.9986591252,CASH_OUT,FR,US
C4019,M5465,331577.77935064305,TRANSFER,IN,FR
C1651,M8618,135986.1136959819,CASH_OUT,GB,GB
C3547,M3144,775414.9621915986,PAYMENT,GR,GB
C1204,M3286,383888.5851449139,CREDIT,US,FR
C4654,M3491,684683.4116297914,CREDIT,ZA,ZA
C8090,M1806,718699.1211684665,DEBIT,GB,US
C5540,M6094,608932.221497356,DEBIT,IN,FR
C8257,M2643,478765.50921990356,CREDIT,FR,AU
C2998,M4122,356701.76605785347,CASH_OUT,BR,BR
C1004,M2035,250655.31090724666,TRANSFER,AU,BR
C5810,M4673,740519.0410840962,CREDIT,BR,US
C7915,M4526,120150.55821616497,CASH_OUT,IN,ZA
C1371,M2708,3094.198755177064,PAYMENT,GR,AU
C8765,M2763,232363.3385136506,CREDIT,FR,FR
C6894,M2903,281993.04996281164,PAYMENT,FR,BR
C4475,M4793,949507.8521404027,CASH_OUT,JP,BR
C3281,M7726,73947.92790768032,CASH_OUT,BR,FR
C8457,M4166,48020.5268788057,CASH_OUT,US,ZA
C8677,M5503,834413.7432379517,CASH_OUT,US,JP
C8632,M2845,985999.3972116098,DEBIT,JP,AU
C8478,M8924,944108.0177449484,TRANSFER,IN,GR
C8874,M4910,222357.84854566192,PAYMENT,AU,ZA
C1325,M3176,969539.6529894336,PAYMENT,US,GB
C7712,M1120,320820.051100576,TRANSFER,FR,ZA
C6812,M5575,33617.82806796079,CASH_OUT,GR,GR
C3743,M8515,561652.399975925,CASH_OUT,IN,JP
C1188,M6240,927141.1974319605,PAYMENT,GR,US
C7778,M5080,489120.54293392866,CASH_OUT,BR,IN
C6020,M7286,655177.6437774464,CREDIT,GR,GR
C6330,M3016,853766.0779409893,DEBIT,US,ZA
C8987,M3880,899791.3152927276,CREDIT,GB,GR
C5775,M5133,405586.64599928586,DEBIT,US,GB
